FeatureCode,DateCode,variable,value
S12000026,2019,Expenditure,10681
S12000027,2019,Expenditure,19559
S12000028,2019,Expenditure,9490
S12000029,2019,Expenditure,23622
S12000030,2019,Expenditure,7535
S12000033,2019,Expenditure,9755
S12000034,2019,Expenditure,19310
S12000035,2019,Expenditure,12222
S12000036,2019,Expenditure,-10844
S12000038,2019,Expenditure,12755
S12000039,2019,Expenditure,4895
S12000040,2019,Expenditure,13805
S12000041,2019,Expenditure,10638
S12000042,2019,Expenditure,5072
S12000045,2019,Expenditure,7198
S12000047,2019,Expenditure,28747
S12000048,2019,Expenditure,12819
S92000003,2019,Expenditure,381329
S12000050,2005,Expenditure,30095
S12000049,2005,Expenditure,52574
S12000050,2006,Expenditure,23526
S12000049,2006,Expenditure,38432
S12000050,2007,Expenditure,28178
S12000049,2007,Expenditure,42328
S12000050,2008,Expenditure,32381
S12000049,2008,Expenditure,38287
S12000050,2009,Expenditure,34280
S12000049,2009,Expenditure,35725
S12000050,2010,Expenditure,34972
S12000049,2010,Expenditure,33396
S12000050,2011,Expenditure,26318
S12000049,2011,Expenditure,30041
S12000050,2012,Expenditure,26727
S12000049,2012,Expenditure,27916
S12000050,2014,Expenditure,25591
S12000049,2014,Expenditure,25234
S12000050,2015,Expenditure,24501
S12000049,2015,Expenditure,23405
S12000050,2016,Expenditure,24439
S12000049,2016,Expenditure,22502
S12000050,2017,Expenditure,26121
S12000049,2017,Expenditure,24918
S12000050,2018,Expenditure,25130
S12000049,2018,Expenditure,21704
S12000050,2019,Expenditure,23777
S12000049,2019,Expenditure,23297
S12000005,2005,Killed_Injured,25
S12000006,2005,Killed_Injured,144
S12000008,2005,Killed_Injured,53
S12000010,2005,Killed_Injured,50
S12000011,2005,Killed_Injured,17
S12000013,2005,Killed_Injured,20
S12000014,2005,Killed_Injured,85
S12000017,2005,Killed_Injured,197
S12000018,2005,Killed_Injured,38
S12000019,2005,Killed_Injured,62
S12000020,2005,Killed_Injured,39
S12000021,2005,Killed_Injured,82
S12000023,2005,Killed_Injured,8
S12000026,2005,Killed_Injured,142
S12000027,2005,Killed_Injured,15
S12000028,2005,Killed_Injured,58
S12000029,2005,Killed_Injured,115
S12000030,2005,Killed_Injured,95
S12000033,2005,Killed_Injured,82
S12000034,2005,Killed_Injured,196
S12000035,2005,Killed_Injured,89
S12000036,2005,Killed_Injured,201
S12000038,2005,Killed_Injured,74
S12000039,2005,Killed_Injured,43
S12000040,2005,Killed_Injured,100
S12000041,2005,Killed_Injured,87
S12000042,2005,Killed_Injured,65
S12000045,2005,Killed_Injured,26
S12000047,2005,Killed_Injured,187
S12000048,2005,Killed_Injured,154
S12000005,2006,Killed_Injured,27
S12000006,2006,Killed_Injured,171
S12000008,2006,Killed_Injured,62
S12000010,2006,Killed_Injured,42
S12000011,2006,Killed_Injured,33
S12000013,2006,Killed_Injured,8
S12000014,2006,Killed_Injured,68
S12000017,2006,Killed_Injured,174
S12000018,2006,Killed_Injured,39
S12000019,2006,Killed_Injured,48
S12000020,2006,Killed_Injured,47
S12000021,2006,Killed_Injured,68
S12000023,2006,Killed_Injured,11
S12000026,2006,Killed_Injured,89
S12000027,2006,Killed_Injured,12
S12000028,2006,Killed_Injured,61
S12000029,2006,Killed_Injured,135
S12000030,2006,Killed_Injured,72
S12000033,2006,Killed_Injured,63
S12000034,2006,Killed_Injured,172
S12000035,2006,Killed_Injured,100
S12000036,2006,Killed_Injured,219
S12000038,2006,Killed_Injured,89
S12000039,2006,Killed_Injured,47
S12000040,2006,Killed_Injured,94
S12000041,2006,Killed_Injured,90
S12000042,2006,Killed_Injured,83
S12000045,2006,Killed_Injured,28
S12000047,2006,Killed_Injured,208
S12000048,2006,Killed_Injured,149
S12000005,2007,Killed_Injured,12
S12000006,2007,Killed_Injured,170
S12000008,2007,Killed_Injured,41
S12000010,2007,Killed_Injured,40
S12000011,2007,Killed_Injured,20
S12000013,2007,Killed_Injured,11
S12000014,2007,Killed_Injured,63
S12000017,2007,Killed_Injured,185
S12000018,2007,Killed_Injured,37
S12000019,2007,Killed_Injured,51
S12000020,2007,Killed_Injured,44
S12000021,2007,Killed_Injured,55
S12000023,2007,Killed_Injured,2
S12000026,2007,Killed_Injured,99
S12000027,2007,Killed_Injured,11
S12000028,2007,Killed_Injured,61
S12000029,2007,Killed_Injured,138
S12000030,2007,Killed_Injured,77
S12000033,2007,Killed_Injured,70
S12000034,2007,Killed_Injured,188
S12000035,2007,Killed_Injured,71
S12000036,2007,Killed_Injured,196
S12000038,2007,Killed_Injured,66
S12000039,2007,Killed_Injured,30
S12000040,2007,Killed_Injured,82
S12000041,2007,Killed_Injured,83
S12000042,2007,Killed_Injured,54
S12000045,2007,Killed_Injured,28
S12000047,2007,Killed_Injured,151
S12000048,2007,Killed_Injured,131
S92000003,2007,Killed_Injured,2662
S12000005,2008,Killed_Injured,25
S12000006,2008,Killed_Injured,115
S12000008,2008,Killed_Injured,67
S12000010,2008,Killed_Injured,23
S12000011,2008,Killed_Injured,26
S12000013,2008,Killed_Injured,17
S12000014,2008,Killed_Injured,73
S12000017,2008,Killed_Injured,146
S12000018,2008,Killed_Injured,41
S12000019,2008,Killed_Injured,37
S12000020,2008,Killed_Injured,54
S12000021,2008,Killed_Injured,59
S12000023,2008,Killed_Injured,9
S12000026,2008,Killed_Injured,100
S12000027,2008,Killed_Injured,5
