FeatureCode,DateCode,Measurement,Units,Value,Indicator (road network traffic)
S12000014,2006,Count,Vehicle Kilometres,1472,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2018,Count,Vehicle Kilometres,1179.48,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2015,Count,Vehicle Kilometres,1585.6,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2014,Count,Vehicle Kilometres,1548.8,The Total Million Vehicle Kilometres On Scottish Roads
S12000014,2013,Count,Vehicle Kilometres,1520.22,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2015,Count,Vehicle Kilometres,1134.72,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2012,Count,Vehicle Kilometres,848.5,The Total Million Vehicle Kilometres On Scottish Roads
S12000042,2007,Count,Vehicle Kilometres,906,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2019,Count,Vehicle Kilometres,1177.38,The Total Million Vehicle Kilometres On Scottish Roads
S12000041,2017,Count,Vehicle Kilometres,1192.66,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2017,Count,Vehicle Kilometres,1045.36,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2019,Count,Vehicle Kilometres,1052.43,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2007,Count,Vehicle Kilometres,1391,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2007,Count,Vehicle Kilometres,992,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2011,Count,Vehicle Kilometres,1286.22,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2010,Count,Vehicle Kilometres,1302.45,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2006,Count,Vehicle Kilometres,974,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2017,Count,Vehicle Kilometres,1335.88,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2012,Count,Vehicle Kilometres,955.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2008,Count,Vehicle Kilometres,987,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2013,Count,Vehicle Kilometres,953.91,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2012,Count,Vehicle Kilometres,1287.7,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2018,Count,Vehicle Kilometres,1049.17,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2008,Count,Vehicle Kilometres,1379,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2009,Count,Vehicle Kilometres,1329,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2009,Count,Vehicle Kilometres,983,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2006,Count,Vehicle Kilometres,1410,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2011,Count,Vehicle Kilometres,977.56,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2010,Count,Vehicle Kilometres,980.82,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2007,Count,Vehicle Kilometres,206,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2019,Count,Vehicle Kilometres,231.15,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2018,Count,Vehicle Kilometres,231.79,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2009,Count,Vehicle Kilometres,203,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2008,Count,Vehicle Kilometres,206,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2007,Count,Vehicle Kilometres,2834,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2015,Count,Vehicle Kilometres,222.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2015,Count,Vehicle Kilometres,3020.06,The Total Million Vehicle Kilometres On Scottish Roads
S12000034,2017,Count,Vehicle Kilometres,3307.23,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2016,Count,Vehicle Kilometres,229.02,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2017,Count,Vehicle Kilometres,233.44,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2006,Count,Vehicle Kilometres,202,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2012,Count,Vehicle Kilometres,203.3,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2013,Count,Vehicle Kilometres,208.41,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2011,Count,Vehicle Kilometres,204.53,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2014,Count,Vehicle Kilometres,216.47,The Total Million Vehicle Kilometres On Scottish Roads
S12000027,2010,Count,Vehicle Kilometres,202.84,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2013,Count,Vehicle Kilometres,1281.08,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2016,Count,Vehicle Kilometres,1328.61,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2014,Count,Vehicle Kilometres,1241.46,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2011,Count,Vehicle Kilometres,2441.27,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2006,Count,Vehicle Kilometres,1228,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2015,Count,Vehicle Kilometres,1269.81,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2014,Count,Vehicle Kilometres,2574.73,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2016,Count,Vehicle Kilometres,2690.29,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2009,Count,Vehicle Kilometres,2491,The Total Million Vehicle Kilometres On Scottish Roads
S12000029,2007,Count,Vehicle Kilometres,2572,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2008,Count,Vehicle Kilometres,1248,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2012,Count,Vehicle Kilometres,1194.27,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2011,Count,Vehicle Kilometres,1215.07,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2019,Count,Vehicle Kilometres,1357.34,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2010,Count,Vehicle Kilometres,1230.19,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2017,Count,Vehicle Kilometres,1344.52,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2018,Count,Vehicle Kilometres,1356.36,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2009,Count,Vehicle Kilometres,1234,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2007,Count,Vehicle Kilometres,1262,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2014,Count,Vehicle Kilometres,1307.18,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2015,Count,Vehicle Kilometres,999.78,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2019,Count,Vehicle Kilometres,1567.96,The Total Million Vehicle Kilometres On Scottish Roads
S12000030,2013,Count,Vehicle Kilometres,1196.29,The Total Million Vehicle Kilometres On Scottish Roads
S12000028,2014,Count,Vehicle Kilometres,983.41,The Total Million Vehicle Kilometres On Scottish Roads
S12000033,2015,Count,Vehicle Kilometres,1310.46,The Total Million Vehicle Kilometres On Scottish Roads
